Komoditas (Rp);date_raw;price_raw;date;price;price_num
Beras Kualitas Medium II;02/12/2024;15,2;12/02/2024;15,2;15.2
Beras Kualitas Super I;02/12/2024;16,3;12/02/2024;16,3;16.3
Beras;02/12/2024;15;12/02/2024;15;15.0
Beras Kualitas Super II;13/02/2024;15,8;13/02/2024;15,8;15.8
Beras Kualitas Medium II;13/02/2024;15,2;13/02/2024;15,2;15.2
Beras Kualitas Medium I;13/02/2024;14,3;13/02/2024;14,3;14.3
Beras Kualitas Super I;13/02/2024;15,5;13/02/2024;15,5;15.5
Beras Kualitas Bawah I;13/02/2024;14,4;13/02/2024;14,4;14.4
Beras;13/02/2024;14,95;13/02/2024;14,95;14.95
Beras Kualitas Bawah II;13/02/2024;14,6;13/02/2024;14,6;14.6
Beras;14/02/2024;14,95;14/02/2024;14,95;14.95
Beras Kualitas Bawah I;14/02/2024;14,4;14/02/2024;14,4;14.4
Beras Kualitas Bawah II;14/02/2024;14,6;14/02/2024;14,6;14.6
Beras Kualitas Medium I;14/02/2024;14,3;14/02/2024;14,3;14.3
Beras Kualitas Medium II;14/02/2024;15,2;14/02/2024;15,2;15.2
Beras Kualitas Super I;14/02/2024;15,5;14/02/2024;15,5;15.5
Beras Kualitas Super II;14/02/2024;15,8;14/02/2024;15,8;15.8
Beras Kualitas Medium II;15/02/2024;16,3;15/02/2024;16,3;16.3
Beras Kualitas Super II;15/02/2024;16,05;15/02/2024;16,05;16.05
Beras Kualitas Medium I;15/02/2024;15,3;15/02/2024;15,3;15.3
Beras Kualitas Super I;15/02/2024;16,4;15/02/2024;16,4;16.4
Beras Kualitas Bawah I;15/02/2024;15,1;15/02/2024;15,1;15.1
Beras;15/02/2024;15,75;15/02/2024;15,75;15.75
Beras Kualitas Bawah II;15/02/2024;15,4;15/02/2024;15,4;15.4
Beras;16/02/2024;15,75;16/02/2024;15,75;15.75
Beras Kualitas Bawah I;16/02/2024;15,1;16/02/2024;15,1;15.1
Beras Kualitas Bawah II;16/02/2024;15,4;16/02/2024;15,4;15.4
Beras Kualitas Medium I;16/02/2024;15,3;16/02/2024;15,3;15.3
Beras Kualitas Medium II;16/02/2024;16,3;16/02/2024;16,3;16.3
Beras Kualitas Super I;16/02/2024;16,4;16/02/2024;16,4;16.4
Beras Kualitas Super II;16/02/2024;16,05;16/02/2024;16,05;16.05
Beras Kualitas Super II;19/02/2024;16,05;19/02/2024;16,05;16.05
Beras Kualitas Super I;19/02/2024;16,4;19/02/2024;16,4;16.4
Beras Kualitas Medium II;19/02/2024;16,3;19/02/2024;16,3;16.3
Beras Kualitas Medium I;19/02/2024;15,3;19/02/2024;15,3;15.3
Beras Kualitas Bawah I;19/02/2024;15,1;19/02/2024;15,1;15.1
Beras;19/02/2024;15,75;19/02/2024;15,75;15.75
Beras Kualitas Bawah II;19/02/2024;15,4;19/02/2024;15,4;15.4
Beras;20/02/2024;15,75;20/02/2024;15,75;15.75
Beras Kualitas Bawah I;20/02/2024;15,1;20/02/2024;15,1;15.1
Beras Kualitas Bawah II;20/02/2024;15,4;20/02/2024;15,4;15.4
Beras Kualitas Medium I;20/02/2024;15,3;20/02/2024;15,3;15.3
Beras Kualitas Medium II;20/02/2024;16,3;20/02/2024;16,3;16.3
Beras Kualitas Super I;20/02/2024;16,4;20/02/2024;16,4;16.4
Beras Kualitas Super II;20/02/2024;16,05;20/02/2024;16,05;16.05
Beras Kualitas Medium II;21/02/2024;16,3;21/02/2024;16,3;16.3
Beras Kualitas Super I;21/02/2024;16,4;21/02/2024;16,4;16.4
Beras Kualitas Medium I;21/02/2024;15,3;21/02/2024;15,3;15.3
Beras Kualitas Super II;21/02/2024;16,05;21/02/2024;16,05;16.05
Beras Kualitas Bawah I;21/02/2024;15,1;21/02/2024;15,1;15.1
Beras;21/02/2024;15,75;21/02/2024;15,75;15.75
Beras Kualitas Bawah II;21/02/2024;15,4;21/02/2024;15,4;15.4
Beras;22/02/2024;15,85;22/02/2024;15,85;15.85
Beras Kualitas Bawah I;22/02/2024;15,2;22/02/2024;15,2;15.2
Beras Kualitas Bawah II;22/02/2024;15,4;22/02/2024;15,4;15.4
Beras Kualitas Medium I;22/02/2024;15,3;22/02/2024;15,3;15.3
Beras Kualitas Medium II;22/02/2024;16,3;22/02/2024;16,3;16.3
Beras Kualitas Super I;22/02/2024;16,6;22/02/2024;16,6;16.6
Beras Kualitas Super II;22/02/2024;16,4;22/02/2024;16,4;16.4
Beras Kualitas Super I;23/02/2024;16,6;23/02/2024;16,6;16.6
Beras Kualitas Medium II;23/02/2024;16,3;23/02/2024;16,3;16.3
Beras Kualitas Medium I;23/02/2024;15,3;23/02/2024;15,3;15.3
Beras Kualitas Super II;23/02/2024;16,4;23/02/2024;16,4;16.4
Beras Kualitas Bawah I;23/02/2024;15,2;23/02/2024;15,2;15.2
Beras;23/02/2024;15,85;23/02/2024;15,85;15.85
Beras Kualitas Bawah II;23/02/2024;15,4;23/02/2024;15,4;15.4
Beras Kualitas Super I;26/02/2024;16,6;26/02/2024;16,6;16.6
Beras Kualitas Medium II;26/02/2024;16,3;26/02/2024;16,3;16.3
Beras Kualitas Medium I;26/02/2024;15,3;26/02/2024;15,3;15.3
Beras Kualitas Super II;26/02/2024;16,4;26/02/2024;16,4;16.4
Beras Kualitas Bawah I;26/02/2024;15,2;26/02/2024;15,2;15.2
Beras;26/02/2024;15,85;26/02/2024;15,85;15.85
Beras Kualitas Bawah II;26/02/2024;15,4;26/02/2024;15,4;15.4
Beras;27/02/2024;15,85;27/02/2024;15,85;15.85
Beras Kualitas Bawah I;27/02/2024;15,2;27/02/2024;15,2;15.2
Beras Kualitas Bawah II;27/02/2024;15,4;27/02/2024;15,4;15.4
